transaction_id,sender_id,receiver_id,amount,timestamp
TXN_001,ACC_001,ACC_002,5000.00,2025-01-15 10:00:00
TXN_002,ACC_002,ACC_003,4800.00,2025-01-15 11:30:00
TXN_003,ACC_003,ACC_001,4600.00,2025-01-15 13:00:00
TXN_004,ACC_004,ACC_005,3200.00,2025-01-16 09:00:00
TXN_005,ACC_005,ACC_006,3100.00,2025-01-16 10:00:00
TXN_006,ACC_006,ACC_007,3000.00,2025-01-16 11:00:00
TXN_007,ACC_007,ACC_004,2900.00,2025-01-16 12:00:00
TXN_008,ACC_010,ACC_020,500.00,2025-01-17 08:00:00
TXN_009,ACC_011,ACC_020,520.00,2025-01-17 08:15:00
TXN_010,ACC_012,ACC_020,480.00,2025-01-17 08:30:00
TXN_011,ACC_013,ACC_020,510.00,2025-01-17 08:45:00
TXN_012,ACC_014,ACC_020,490.00,2025-01-17 09:00:00
TXN_013,ACC_015,ACC_020,530.00,2025-01-17 09:15:00
TXN_014,ACC_016,ACC_020,470.00,2025-01-17 09:30:00
TXN_015,ACC_017,ACC_020,540.00,2025-01-17 09:45:00
TXN_016,ACC_018,ACC_020,460.00,2025-01-17 10:00:00
TXN_017,ACC_019,ACC_020,500.00,2025-01-17 10:15:00
TXN_018,ACC_020,ACC_021,550.00,2025-01-17 10:30:00
TXN_019,ACC_030,ACC_031,2000.00,2025-01-18 14:00:00
TXN_020,ACC_031,ACC_032,1900.00,2025-01-18 15:00:00
TXN_021,ACC_032,ACC_033,1800.00,2025-01-18 16:00:00
TXN_022,ACC_033,ACC_034,1700.00,2025-01-18 17:00:00
TXN_023,ACC_040,ACC_041,800.00,2025-01-19 08:00:00
TXN_024,ACC_041,ACC_042,750.00,2025-01-19 09:00:00
TXN_025,ACC_042,ACC_043,700.00,2025-01-19 10:00:00
TXN_026,ACC_043,ACC_044,650.00,2025-01-19 11:00:00
TXN_027,ACC_044,ACC_040,600.00,2025-01-19 12:00:00
TXN_028,ACC_050,ACC_051,400.00,2025-01-20 10:00:00
TXN_029,ACC_051,ACC_052,380.00,2025-01-20 11:00:00
TXN_030,ACC_052,ACC_053,360.00,2025-01-20 12:00:00
TXN_031,ACC_060,ACC_061,1200.00,2025-01-21 08:00:00
TXN_032,ACC_061,ACC_062,1100.00,2025-01-21 09:00:00
TXN_033,ACC_062,ACC_060,1000.00,2025-01-21 10:00:00
TXN_034,ACC_070,ACC_020,490.00,2025-01-17 10:30:00
TXN_035,ACC_071,ACC_020,510.00,2025-01-17 10:45:00
TXN_036,ACC_020,ACC_072,600.00,2025-01-17 11:00:00
TXN_037,ACC_020,ACC_073,620.00,2025-01-17 11:15:00
TXN_038,ACC_020,ACC_074,580.00,2025-01-17 11:30:00
TXN_039,ACC_020,ACC_075,590.00,2025-01-17 11:45:00
TXN_040,ACC_020,ACC_076,610.00,2025-01-17 12:00:00
TXN_041,ACC_020,ACC_077,570.00,2025-01-17 12:15:00
TXN_042,ACC_020,ACC_078,630.00,2025-01-17 12:30:00
TXN_043,ACC_020,ACC_079,550.00,2025-01-17 12:45:00
TXN_044,ACC_020,ACC_080,540.00,2025-01-17 13:00:00
TXN_045,ACC_020,ACC_081,560.00,2025-01-17 13:15:00
TXN_046,ACC_008,ACC_009,1500.00,2025-01-22 14:00:00
TXN_047,ACC_009,ACC_001,1400.00,2025-01-22 15:00:00
TXN_048,ACC_001,ACC_008,1300.00,2025-01-22 16:00:00
TXN_049,ACC_082,ACC_020,505.00,2025-01-17 11:00:00
TXN_050,ACC_083,ACC_020,515.00,2025-01-17 11:15:00
